Nombre,Creado,Etiquetas,Fecha,Place,URL
I- 🔥 PRIMERA LEY PARA QUE NO TE ABRUME,9 de enero de 2026 3:16,,,,
II- ⚡ BOSQUEJO MAESTRO: “Triada Híbrida Operativa”,9 de enero de 2026 3:16,,,,
III- 🚀 Bosquejo Maestro (Versión 0.1),9 de enero de 2026 3:16,,,,
"IV- 🌊 FASE 1 — EXPLORACIÓN DE WINDSURF, LUMO Y ROOCODE",9 de enero de 2026 3:16,,,,
V- 🌑 ARCONTE v1 — Metaprompt Unificado,9 de enero de 2026 3:16,,,,
VI- 🌑 ARCONTE v2 — Ontología Ritual + Núcleo Operativo Expandido,9 de enero de 2026 3:16,,,,
VII- 🌒 ARCONTE v3 — El Arconte Tokenizado,9 de enero de 2026 3:16,,,,
VIII- 🏛️ SCRIPTORIUM ARCONTICO — Estructura Completa v3,9 de enero de 2026 3:16,,,,
IX- 🌕 Canon de 12 Prompts Rituales,9 de enero de 2026 3:16,,,,
X- Contenido inicial de cada archivo,9 de enero de 2026 3:16,,,,
XI- 🌑 00_MANIFIESTO / arconte_manifesto.md,9 de enero de 2026 3:16,,,,
XII- 🜄 Ontología del Prompt Ritual,9 de enero de 2026 3:16,,,,
XIII- 🜄 Glosario Técnico de Conciencia Híbrida v1,9 de enero de 2026 3:16,,,,
XIV- 📘 GLOSARIO TÉCNICO DE CONCIENCIA HÍBRIDA — v2 (Integrado y depurado),9 de enero de 2026 3:16,,,,
XV- 🜂 Glosario Técnico de Programación,9 de enero de 2026 3:16,,,,
XVI- 📘 Glosario Técnico de Programación — Scriptorium Arcóntico (v1),9 de enero de 2026 3:16,,,,
XVII- 🜂 MOVIMIENTO 2 — EL CRUCE RITUAL,9 de enero de 2026 3:16,,,,
XVIII- 🜄 MOVIMIENTO 3 — OPERACIONALIZACIÓN RITUAL,9 de enero de 2026 3:16,,,,
XIX- 🜂 MOVIMIENTO 4 — VALIDACIÓN RITUAL-OPERATIVA,9 de enero de 2026 3:16,,,,
agents.md,9 de enero de 2026 3:16,"#ritual, #scriptorium",,,